Site Name,Current WAN1,Future WAN1,WAN1 Change,Current WAN2,Future WAN2,WAN2 Change,Fix Type
TXD 45,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 46,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 47,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nLongview Cable n (500.0M x 30.0M),Longview Cable (500.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 48,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 51,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 52,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 54,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 55,(empty),(empty),,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix
TXD 57,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 58,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 59,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nEB2-Frontier Fiber n (500.0M x 500.0M),EB2-Frontier Fiber (500.0M x 500.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 60,nSpectrum Business n (500.0M x 500.0M),Spectrum Business (500.0M x 500.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 61,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 62,nCABLE ONE INC. n (300.0M x 50.0M),CABLE ONE INC. (300.0M x 50.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 63,nEB2-Windstream Fiber n (500.0M x 500.0M),EB2-Windstream Fiber (500.0M x 500.0M),✓ CHANGED,nCable One n (300.0M x 50.0M),Cable One (300.0M x 50.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 64,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 65,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 66,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 67,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 68,nSpectrum n (300.0M x 20.0M),Spectrum (300.0M x 20.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 69,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 70,nSpectrum n (940.0M x 35.0M),Spectrum (940.0M x 35.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 71,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 72,nAT&T Broadband II n (500.0M x 100.0M),AT&T Broadband II (500.0M x 100.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 73,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 74,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 75,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 77,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nEB2-Frontier Fiber n (500.0M x 500.0M),EB2-Frontier Fiber (500.0M x 500.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 78,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 79,nAltice n (500.0M x 50.0M),Altice (500.0M x 50.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 81,nEB2-Frontier Fiber n (500.0M x 500.0M),EB2-Frontier Fiber (500.0M x 500.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 82,nAT&T Broadband II n (1000.0M x 200.0M),AT&T Broadband II (1000.0M x 200.0M),✓ CHANGED,Starlink (Satellite),Starlink (Satellite),,Provider Name Fix
TXD 83,nSpectrum n (1000.0M x 50.0M),Spectrum (1000.0M x 50.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 84,nDSR VyVe Cable n (500.0M x 50.0M),DSR VyVe Cable (500.0M x 50.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 85,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 86,nSpectrum n (),Spectrum (),✓ CHANGED,nACCELERATED (),ACCELERATED (),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 87,(empty),(empty),,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix
TXD 88,nAltice West n (500.0M x 50.0M),Altice West (500.0M x 50.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 89,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 90,nEast Texas Broadband n (300.0M x 300.0M),East Texas Broadband (300.0M x 300.0M),✓ CHANGED,nCenturyLink n (40.0M x 5.0M),CenturyLink (40.0M x 5.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 91,nFrontier FIOS n (200.0M x 200.0M),Frontier FIOS (200.0M x 200.0M),✓ CHANGED,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 92,nAT&T Broadband II n (200.0M x 200.0M),AT&T Broadband II (200.0M x 200.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXD 93,nDSR Altice n (300.0M x 50.0M),DSR Altice (300.0M x 50.0M),✓ CHANGED,nDSR CLink DSL n (80.0M x 10.0M),DSR CLink DSL (80.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXE 01,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXE 02,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXE 03,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXE 05,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (100.0M x 100.0M),AT&T Broadband II (100.0M x 100.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXE 06,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXE 07,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH_00,nAT&T n (300.0M x 300.0M),AT&T (300.0M x 300.0M),✓ CHANGED,nComcast n (300.0M x 30.0M),Comcast (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 01,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 02,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 03,nComcast Workplace n (600.0M x 35.0M),Comcast Workplace (600.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 04,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast (),Comcast (),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 05,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 10,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nComcast Workplace n (600.0M x 35.0M),Comcast Workplace (600.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 12,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 15,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 16,(empty),(empty),,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix
TXH 17,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 18,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 21,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 22,nAltice n (500.0M x 50.0M),Altice (500.0M x 50.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 23,nOptimum n (500.0M x 50.0M),Optimum (500.0M x 50.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 24,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 25,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 26,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 27,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 28,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 29,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 30,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 31,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 33,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 37,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 39,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 41,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 44,nComcast n (300.0M x 30.0M),Comcast (300.0M x 30.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 45,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 46,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 48,nOptimum n (),Optimum (),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 49,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Starlink (Satellite),Starlink (Satellite),,Provider Name Fix
TXH 50,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 51,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 52,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 53,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 56,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 57,nComcast Workplace n (250.0M x 25.0M),Comcast Workplace (250.0M x 25.0M),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 58,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 59,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 60,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 61,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 62,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 64,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 65,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 66,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 67,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 69,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 70,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 71,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 72,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 73,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 75,nComcast Workplace n (600.0M x 35.0M),Comcast Workplace (600.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 77,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 78,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 81,nMetronet n (300.0M x 300.0M),Metronet (300.0M x 300.0M),✓ CHANGED,nRise Broadband n (15.0M x 3.0M),Rise Broadband (15.0M x 3.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 82,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 83,nComcast Workplace n (250.0M x 25.0M),Comcast Workplace (250.0M x 25.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 84,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 85,nOptimum n (500.0M x 50.0M),Optimum (500.0M x 50.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 86,nComcast n (300.0M x 25.0M),Comcast (300.0M x 25.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 87,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 88,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 89,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nComcast Workplace n (300.0M x 25.0M),Comcast Workplace (300.0M x 25.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 90,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 91,n-- DSR Livcom | n (200.0M x 200.0M),-- DSR Livcom | (200.0M x 200.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 93,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (500.0M x 30.0M),Comcast Workplace (500.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 94,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,nConsolidated Communications n (300.0M x 300.0M),Consolidated Communications (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH 95,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (300.0M x 25.0M),Comcast Workplace (300.0M x 25.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXH SE Flex DTU,nWarehouse for Regional Facilities (),Warehouse for Regional Facilities (),✓ CHANGED,(empty),(empty),,Provider Name Fix
TXL 02,nAltice n (500.0M x 50.0M),Altice (500.0M x 50.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
TXL 03,nAltice n (500.0M x 50.0M),Altice (500.0M x 50.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
