site_name,site_id,circuit_purpose,dsr_provider,dsr_speed,dsr_cost,dsr_ip,meraki_wan1_provider,wan1_ip,wan1_arin_provider,meraki_wan2_provider,wan2_ip,wan2_arin_provider,current_match,normalized_dsr_provider,normalized_wan1_arin,normalized_wan2_arin,wan1_arin_matches_dsr,wan2_arin_matches_dsr
NCC 37,NCC 37 -B,Secondary,MetroNet,300.0M x 300.0M,139.95,216.82.18.25,Spectrum,174.108.204.246,Charter Communications,MetroNet,216.82.18.25,Metronet,WAN2,metronet,spectrum,metronet,No,Yes
NCC 39,NCC 39,Primary,Spectrum,600.0M x 35.0M,244.45,24.172.12.190,Spectrum,24.172.12.190,Charter Communications,AT&T Broadband II,23.120.26.113,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
NCC 39,NCC 39 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,23.120.26.113,Spectrum,24.172.12.190,Charter Communications,AT&T Broadband II,23.120.26.113,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
NCC 40,NCC 40,Primary,Spectrum,600.0M x 35.0M,244.45,24.172.234.246,Spectrum,24.172.234.246,Charter Communications,EB2-Windstream Fiber,209.253.208.134,Windstream Communications,WAN1,spectrum,spectrum,windstream,Yes,No
NCC 40,NCC 40 -B,Secondary,EB2-Windstream Fiber,500.0M x 500.0M,209.00,209.253.208.134,Spectrum,24.172.234.246,Charter Communications,EB2-Windstream Fiber,209.253.208.134,Windstream Communications,WAN2,windstream,spectrum,windstream,No,Yes
NCC 41,NCC 41,Primary,Spectrum,600.0M x 35.0M,172.23,173.42.50.238,Spectrum,173.42.50.238,Charter Communications,AT&T Broadband II,99.58.164.97,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
NCC 41,NCC 41 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,99.58.164.97,Spectrum,173.42.50.238,Charter Communications,AT&T Broadband II,99.58.164.97,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
NCC 42,NCC 42,Primary,AT&T Broadband II,100.0M x 20.0M,90.00,104.13.12.121,AT&T Broadband II,104.13.12.121,AT&T,Spectrum,24.199.176.230,Charter Communications,WAN1,at&t,at&t,spectrum,Yes,No
NCC 42,NCC 42 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,24.199.176.230,AT&T Broadband II,104.13.12.121,AT&T,Spectrum,24.199.176.230,Charter Communications,WAN2,spectrum,at&t,spectrum,No,Yes
NCC 43,NCC 43,Primary,Spectrum,600.0M x 35.0M,172.23,47.49.163.174,EB2-Windstream Fiber,66.217.75.138,Windstream Communications LLC,Spectrum,47.49.163.174,Charter Communications,WAN2,spectrum,windstream,spectrum,No,Yes
NCC 43,NCC 43 -B,Secondary,EB2-Windstream Fiber,500.0M x 500.0M,209.00,66.217.75.138,EB2-Windstream Fiber,66.217.75.138,Windstream Communications LLC,Spectrum,47.49.163.174,Charter Communications,WAN1,windstream,windstream,spectrum,Yes,No
NCC 44,NCC 44,Primary,Spectrum,600.0M x 35.0M,172.23,174.99.171.30,Spectrum,174.99.171.30,Charter Communications,VZW Cell,192.168.0.151,Private IP,WAN1,spectrum,spectrum,private,Yes,No
NCC 45,NCC 45,Primary,Spectrum,600.0M x 35.0M,172.23,96.10.113.218,Spectrum,96.10.113.218,Charter Communications,Brightspeed,4.8.162.18,Level 3 Parent,WAN1,spectrum,spectrum,centurylink,Yes,No
NCC 45,NCC 45,Primary,Spectrum,600.0M x 35.0M,172.23,96.10.113.218,Spectrum,96.10.113.218,Charter Communications,Brightspeed,4.8.162.18,Level 3 Parent,WAN1,spectrum,spectrum,centurylink,Yes,No
NCC 45,NCC 45- B,Secondary,Brightspeed,100.0M x 100.0M,592.00,NaN,Spectrum,96.10.113.218,Charter Communications,Brightspeed,4.8.162.18,Level 3 Parent,WAN2,brightspeed,spectrum,centurylink,No,No
NCC 45,NCC 45- B,Secondary,Brightspeed,100.0M x 100.0M,592.00,NaN,Spectrum,96.10.113.218,Charter Communications,Brightspeed,4.8.162.18,Level 3 Parent,WAN2,brightspeed,spectrum,centurylink,No,No
NCC 46,NCC 46,Primary,Spectrum,600.0M x 35.0M,172.23,70.63.76.162,Windstream,66.217.80.62,Windstream Communications LLC,Spectrum,70.63.76.162,Charter Communications,WAN2,spectrum,windstream,spectrum,No,Yes
NCC 46,NCC 46- B,Secondary,Windstream,100.0M x 100.0M,550.00,66.217.80.62,Windstream,66.217.80.62,Windstream Communications LLC,Spectrum,70.63.76.162,Charter Communications,WAN1,windstream,windstream,spectrum,Yes,No
NCC 47,NCC 47,Primary,Spectrum,600.0M x 35.0M,172.23,74.219.25.130,Spectrum,74.219.25.130,Charter Communications,MetroNet,149.154.24.39,Metronet,WAN1,spectrum,spectrum,metronet,Yes,No
NCC 47,NCC 47- B,Secondary,MetroNet,500.0M x 500.0M,199.95,149.154.24.39,Spectrum,74.219.25.130,Charter Communications,MetroNet,149.154.24.39,Metronet,WAN2,metronet,spectrum,metronet,No,Yes
NCC 51,NCC 51,Primary,Altice West,100.0M x 10.0M,106.67,207.192.229.44,Altice West,207.192.229.44,Optimum,Starlink,143.105.148.211,"SpaceX Services, Inc.",WAN1,altice,optimum,spacex,No,No
NCC 52,NCC 52,Primary,Spectrum,600.0M x 35.0M,172.23,173.95.111.214,Spectrum,173.95.111.214,Charter Communications,Metronet,152.117.99.250,Metronet,WAN1,spectrum,spectrum,metronet,Yes,No
NCC 52,NCC 52- B,Secondary,Metronet,100.0M x 100.0M,109.95,152.117.99.250,Spectrum,173.95.111.214,Charter Communications,Metronet,152.117.99.250,Metronet,WAN2,metronet,spectrum,metronet,No,Yes
NCN 01,NCN 01,Primary,Spectrum,600.0M x 35.0M,172.23,24.172.12.22,Spectrum,24.172.12.22,Charter Communications,Brightspeed,71.37.136.213,CenturyLink,WAN1,spectrum,spectrum,centurylink,Yes,No
NCN 01,NCN 01- B,Secondary,Brightspeed,100.0M x 100.0M,189.99,71.37.136.213,Spectrum,24.172.12.22,Charter Communications,Brightspeed,71.37.136.213,CenturyLink,WAN2,brightspeed,spectrum,centurylink,No,No
NDG 01,NDG 01,Primary,Midcontinent,500.0M x 50.0M,165.00,24.220.46.162,Midcontinent,24.220.46.162,Midcontinent Communications,Digi,107.80.185.147,AT&T,WAN1,midcontinent,midcontinent,at&t,Yes,No
NEG 01,NEG 01,Primary,Spectrum,600.0M x 35.0M,244.45,71.8.217.226,Allo Communications,206.222.219.64,Cogent Communications,Spectrum,71.8.217.226,Charter Communications,WAN2,spectrum,cogent,spectrum,No,Yes
NEG 01,NEG 01- B,Secondary,Allo Communications,1000.0M x 1000.0M,227.00,206.222.219.64,Allo Communications,206.222.219.64,Cogent Communications,Spectrum,71.8.217.226,Charter Communications,WAN1,allo,cogent,spectrum,No,No
NEL 01,NEL 01,Primary,Spectrum,600.0M x 35.0M,172.23,76.79.25.54,Allo Communications,209.50.9.36,Allo Communications LLC,Spectrum,76.79.25.54,Charter Communications,WAN2,spectrum,allo,spectrum,No,Yes
NEL 01,NEL 01- B,Secondary,Allo Communications,1000.0M x 1000.0M,223.00,209.50.93.36,Allo Communications,209.50.9.36,Allo Communications LLC,Spectrum,76.79.25.54,Charter Communications,WAN1,allo,allo,spectrum,Yes,No
NEO 01,NEO 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,184.189.175.66,Great Plains Communications,64.64.137.13,Great Plains Communications LLC,Cox Business/BOI,184.189.175.66,Cox Communications,WAN2,cox,great,cox,No,Yes
NEO 01,NEO 01 -B,Secondary,Great Plains Communications,1000.0M x 300.0M,399.95,64.64.137.13,Great Plains Communications,64.64.137.13,Great Plains Communications LLC,Cox Business/BOI,184.189.175.66,Cox Communications,WAN1,great,great,cox,Yes,No
NEO 03,NEO 03,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,98.171.225.242,Great Plains Communications,223.165.98.229,Great Plains Communications LLC,Cox Business/BOI,98.171.225.242,Cox Communications,WAN2,cox,great,cox,No,Yes
NEO 03,NEO 03 -B,Secondary,Great Plains Communications,1000.0M x 300.0M,399.95,223.165.98.229,Great Plains Communications,223.165.98.229,Great Plains Communications LLC,Cox Business/BOI,98.171.225.242,Cox Communications,WAN1,great,great,cox,Yes,No
NEO 04,NEO 04,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,72.215.216.179,Great Plains Communications,24.223.126.167,Great Plains Communications,Cox Business/BOI,72.215.216.179,Cox Communications,WAN2,cox,great,cox,No,Yes
NEO 04,NEO 04 -B,Secondary,Great Plains Communications,1000.0M x 300.0M,399.95,24.223.126.167,Great Plains Communications,24.223.126.167,Great Plains Communications,Cox Business/BOI,72.215.216.179,Cox Communications,WAN1,great,great,cox,Yes,No
NEO 05,NEO 05,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,184.183.225.86,Cox Business/BOI,184.183.225.86,Cox Communications,EB2-Centurylink DSL,65.103.170.121,Malinda Jepsen,WAN1,cox,cox,malinda,Yes,No
NEO 05,NEO 05- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,65.103.170.121,Cox Business/BOI,184.183.225.86,Cox Communications,EB2-Centurylink DSL,65.103.170.121,Malinda Jepsen,WAN2,centurylink,cox,malinda,No,No
NEO 06,NEO 06,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,184.189.166.231,Cox Business/BOI,184.189.166.231,Cox Communications,EB2-Centurylink DSL,65.103.170.65,Diane Allen,WAN1,cox,cox,diane,Yes,No
NEO 06,NEO 06- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,65.103.170.65,Cox Business/BOI,184.189.166.231,Cox Communications,EB2-Centurylink DSL,65.103.170.65,Diane Allen,WAN2,centurylink,cox,diane,No,No
NEO 07,NEO 07,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,98.179.45.43,Great Plains Communications,173.240.90.78,Great Plains Communications,Cox Business/BOI,98.179.45.43,Cox Communications,WAN2,cox,great,cox,No,Yes
NEO 07,NEO 07- B,Secondary,Great Plains Communications,100.0M x 100.0M,199.95,173.240.90.78,Great Plains Communications,173.240.90.78,Great Plains Communications,Cox Business/BOI,98.179.45.43,Cox Communications,WAN1,great,great,cox,Yes,No
NMA 01,NMA 01,Primary,Comcast Workplace,300.0M x 30.0M,175.56,50.240.15.89,Unite Network,209.71.136.2,Unite Private Networks LLC.,Comcast,50.240.15.89,Comcast,No Match,comcast,unite,comcast,No,Yes
NMA 01,NMA 01- B,Secondary,Unite Private Networks,300.0M x 300.0M,699.00,209.71.136.2,Unite Network,209.71.136.2,Unite Private Networks LLC.,Comcast,50.240.15.89,Comcast,No Match,unite,unite,comcast,Yes,No
NMA 02,NMA 02,Primary,Comcast Workplace,300.0M x 30.0M,175.56,50.188.167.53,Comcast Workplace,50.188.167.53,Comcast,ComcastAgg CLink,71.32.110.137,CenturyLink,WAN1,comcast,comcast,centurylink,Yes,No
NMA 03,NMA 03,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.77.43.201,Comcast Workplace,50.77.43.201,Comcast,VZW Cell,192.168.0.151,Private IP,WAN1,comcast,comcast,private,Yes,No
NMA 04,NMA 04,Primary,Comcast Workplace,300.0M x 30.0M,175.56,23.31.114.133,Comcast Workplace,23.31.114.133,Comcast,Unite Private Networks,209.71.136.98,Unite Private Networks LLC.,WAN1,comcast,comcast,unite,Yes,No
NMA 04,NMA 04- B,Secondary,Unite Private Networks,100.0M x 100.0M,550.00,209.71.136.98,Comcast Workplace,23.31.114.133,Comcast,Unite Private Networks,209.71.136.98,Unite Private Networks LLC.,WAN2,unite,comcast,unite,No,Yes
NMA 05,NMA 05,Primary,Comcast Workplace,600.0M x 35.0M,234.45,173.163.241.109,Comcast Workplace,209.71.136.126,Unite Private Networks LLC.,Comcast Workplace,173.163.241.109,Comcast,WAN1,comcast,unite,comcast,No,Yes
NMA 06,NMA 06,Primary,Comcast Workplace,300.0M x 30.0M,175.56,71.25.95.217,Comcast Workplace,71.25.95.217,Comcast,VZW Cell,166.248.9.218,Verizon,WAN1,comcast,comcast,verizon,Yes,No
NMA 07,NMA 07,Primary,Comcast Workplace,1000.0M x 35.0M,282.23,96.92.66.77,Comcast Workplace,96.92.66.77,Comcast,Verizon Business,166.248.7.30,Verizon,WAN1,comcast,comcast,verizon,Yes,No
NMA 08,NMA 08,Primary,Comcast Workplace,600.0M x 35.0M,234.45,96.77.28.109,Comcast Workplace,96.77.28.109,Comcast,Digi,192.168.2.232,Private IP,WAN1,comcast,comcast,private,Yes,No
NMA 09,NMA 09,Primary,SparkLight,300.0M x 30.0M,224.99,67.60.99.2,SparkLight,67.60.99.2,"CABLE ONE, INC.",Comcast Workplace,96.72.12.153,Comcast,WAN1,sparklight,cable,comcast,No,No
NMA 09,NMA 09 -B,Secondary,Comcast Workplace,200.0M x 20.0M,134.45,96.72.12.153,SparkLight,67.60.99.2,"CABLE ONE, INC.",Comcast Workplace,96.72.12.153,Comcast,WAN2,comcast,cable,comcast,No,Yes
NMA 11,NMA 11,Primary,TDS Cable,300.0M x 30.0M,99.95,24.49.160.42,Tularosa Basin Telephone Company,66.18.169.141,"TULAROSA COMMUNICATIONS, INC.",TDS Cable,24.49.160.42,DISCOUNT TIRE ,WAN2,tds,tularosa,discount,No,No
NMA 11,NMA 11- B,Secondary,Tularosa Basin Telephone Company,100.0M x 100.0M,169.99,66.18.169.141,Tularosa Basin Telephone Company,66.18.169.141,"TULAROSA COMMUNICATIONS, INC.",TDS Cable,24.49.160.42,DISCOUNT TIRE ,WAN1,tularosa,tularosa,discount,Yes,No
NMA 12,NMA 12,Primary,Comcast Workplace,600.0M x 35.0M,234.45,96.77.26.145,Comcast Workplace,96.77.26.145,Comcast,Digi,192.168.2.105,Private IP,WAN1,comcast,comcast,private,Yes,No
NMC 01,NMC 01,Primary,Altice West,300.0M x 30.0M,151.12,66.76.20.2,Plateau Telecommunications,68.66.82.53,Plateau Telecommunications Incorporated,Altice West,74.192.234.29,Optimum,WAN2,altice,plateau,optimum,No,No
NMC 01,NMC 01- B,Secondary,Plateau Telecommunications,500.0M x 500.0M,350.00,68.66.82.53,Plateau Telecommunications,68.66.82.53,Plateau Telecommunications Incorporated,Altice West,74.192.234.29,Optimum,WAN1,plateau,plateau,optimum,Yes,No
NMF 01,NMF 01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,23.31.119.25,Comcast Workplace,23.31.119.25,Comcast,EB2-Centurylink DSL,192.168.0.4,Private IP,WAN1,comcast,comcast,private,Yes,No
NMF 01,NMF 01- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,168.103.98.122,Comcast Workplace,23.31.119.25,Comcast,EB2-Centurylink DSL,192.168.0.4,Private IP,WAN2,centurylink,comcast,private,No,No
NMH 01,NMH 01,Primary,Windstream,500.0M x 500.0M,94.99,184.81.233.98,Windstream,184.81.233.98,Windstream Communications LLC,EB2-TDS Cable,184.60.134.66,Frontier Communications,WAN1,windstream,windstream,frontier,Yes,No
NMH 01,NMH 01- B,Secondary,EB2-TDS Cable,300.0M x 30.0M,216.00,184.60.134.66,Windstream,184.81.233.98,Windstream Communications LLC,EB2-TDS Cable,184.60.134.66,Frontier Communications,WAN2,eb2-tds,windstream,frontier,No,No
NML 01,NML 01,Primary,Comcast Workplace,300.0M x 30.0M,175.56,71.25.90.169,Comcast Workplace,71.25.90.169,Comcast,AT&T Cell,192.168.2.213,Private IP,WAN1,comcast,comcast,private,Yes,No
NMR 01,NMR 01,Primary,Sparklight,300.0M x 30.0M,248.75,24.119.46.66,Plateau Telecommunications,64.90.159.209,Plateau Telecommunications Incorporated,Sparklight,24.119.46.66,"CABLE ONE, INC.",WAN2,sparklight,plateau,cable,No,No
NMR 01,NMR 01- B,Secondary,Plateau Telecommunications,500.0M x 500.0M,350.00,64.90.159.209,Plateau Telecommunications,64.90.159.209,Plateau Telecommunications Incorporated,Sparklight,24.119.46.66,"CABLE ONE, INC.",WAN1,plateau,plateau,cable,Yes,No
NMS 02,NMS 02,Primary,Comcast Workplace,300.0M x 30.0M,175.56,50.243.19.13,Comcast Workplace,50.243.19.13,Comcast,CenturyLink,65.102.98.193,CenturyLink,WAN1,comcast,comcast,centurylink,Yes,No
NMS 02,NMS 02,Secondary,CenturyLink,60.0M x 5.0M,149.99,65.102.98.193,Comcast Workplace,50.243.19.13,Comcast,CenturyLink,65.102.98.193,CenturyLink,WAN2,centurylink,comcast,centurylink,No,Yes
NMS 03,NMS 03,Primary,Comcast Workplace,250.0M x 25.0M,186.18,50.213.132.113,NMSurf Inc.,192.168.88.196,Private IP,Comcast Workplace,50.213.132.113,Comcast,WAN2,comcast,private,comcast,No,Yes
NMS 03,NMS 03- B,Secondary,"NMSurf, Inc.",300.0M x 300.0M,129.99,208.85.34.212,NMSurf Inc.,192.168.88.196,Private IP,Comcast Workplace,50.213.132.113,Comcast,No Match,"nmsurf,",private,comcast,No,No
NVL 03,NVL 03,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,174.67.84.78,Cox Business/BOI,174.67.84.78,Cox Communications,AT&T Cell,192.168.2.165,Private IP,WAN1,cox,cox,private,Yes,No
NVL 04,NVL 04,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,174.75.33.72,Cox Business/BOI,174.75.33.72,Cox Communications,AT&T Cell,192.168.2.244,Private IP,WAN1,cox,cox,private,Yes,No
NVL 05,NVL 05,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,24.234.148.98,Cox Business/BOI,24.234.148.98,Cox Communications,VZW Cell,192.168.2.190,Private IP,WAN1,cox,cox,private,Yes,No
NVL 06,NVL 06,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,24.234.31.50,Cox Business/BOI,24.234.31.50,Cox Communications,AT&T Cell,192.168.2.207,Private IP,WAN1,cox,cox,private,Yes,No
NVL 08,NVL 08,Primary,CenturyLink Fiber Plus,500.0M x 500.0M,529.00,65.153.152.146,CenturyLink Fiber Plus,65.153.152.146,CenturyLink,Cox Business/BOI,174.75.61.136,Cox Communications,WAN1,centurylink,centurylink,cox,Yes,No
NVL 08,NVL 08 -B,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,174.75.61.136,CenturyLink Fiber Plus,65.153.152.146,CenturyLink,Cox Business/BOI,174.75.61.136,Cox Communications,WAN2,cox,centurylink,cox,No,Yes
NVL 09,NVL 09,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,24.234.158.114,Cox Business/BOI,24.234.158.114,Cox Communications,VZW Cell,192.168.0.152,Private IP,WAN1,cox,cox,private,Yes,No
NVL 11,NVL 11,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,174.71.227.27,Cox Business/BOI,174.71.227.27,Cox Communications,Digi,192.168.2.190,Private IP,WAN1,cox,cox,private,Yes,No
NVL 13,NVL 13,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,98.180.231.172,,174.75.51.20,Cox Communications,AT&T Cell,192.168.2.134,Private IP,No Match,cox,cox,private,Yes,No
NVL 14,NVL 14,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,24.234.115.121,Cox Business/BOI,24.234.115.121,Cox Communications,Verizon Business,166.248.9.199,Verizon,WAN1,cox,cox,verizon,Yes,No
NVL 17,NVL 17,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,68.1.199.169,Cox Business/BOI,68.1.199.169,Cox Communications,AT&T Cell,192.168.2.198,Private IP,WAN1,cox,cox,private,Yes,No
NVL 22,NVL 22,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,98.180.225.154,Cox Business/BOI,98.180.225.154,Cox Communications,VZW Cell,192.168.0.151,Private IP,WAN1,cox,cox,private,Yes,No
NVL 23,NVL 23,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,184.176.163.195,Cox Business/BOI,184.176.163.195,Cox Communications,VZW Cell,192.168.0.154,Private IP,WAN1,cox,cox,private,Yes,No
NVL 24,NVL 24,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,174.67.82.218,Cox Business/BOI,174.67.82.218,Cox Communications,CenturyLink,,,WAN1,cox,cox,,Yes,No
NVL 25,NVL 25,Primary,CenturyLink Fiber Plus,500.0M x 500.0M,509.00,65.140.77.202,CenturyLink Fiber Plus,65.140.77.202,DISCOUNT TIRE NVL 25,VZW Cell,192.168.0.151,Private IP,WAN1,centurylink,discount,private,No,No
NVL 26,NVL 26,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,24.234.138.82,Cox Business/BOI,72.202.237.121,Cox Communications,VZW Cell,192.168.2.230,Private IP,WAN1,cox,cox,private,Yes,No
NVR 01,NVR 01,Primary,Spectrum,600.0M x 35.0M,244.45,47.48.75.78,Spectrum,47.48.75.78,Charter Communications,AT&T Broadband II,76.237.140.113,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
NVR 01,NVR 01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,76.237.140.113,Spectrum,47.48.75.78,Charter Communications,AT&T Broadband II,76.237.140.113,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
NVR 02,NVR 02,Primary,Spectrum,600.0M x 35.0M,244.45,97.92.107.50,Spectrum,97.92.107.50,Charter Communications,AT&T Broadband II,76.237.141.137,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
NVR 02,NVR 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,76.237.141.137,Spectrum,97.92.107.50,Charter Communications,AT&T Broadband II,76.237.141.137,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
NVR 04,NVR 04,Primary,Spectrum,600.0M x 35.0M,244.45,68.190.176.202,Spectrum,68.190.176.202,Charter Communications,AT&T Broadband II,45.21.91.73,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
NVR 04,NVR 04 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,45.21.91.73,Spectrum,68.190.176.202,Charter Communications,AT&T Broadband II,45.21.91.73,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
NVR 05,NVR 05,Primary,Spectrum,600.0M x 35.0M,172.23,24.176.187.90,AT&T Broadband II,45.21.92.81,AT&T,Spectrum,24.176.187.90,Charter Communications,WAN2,spectrum,at&t,spectrum,No,Yes
NVR 05,NVR 05- B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,45.21.92.81,AT&T Broadband II,45.21.92.81,AT&T,Spectrum,24.176.187.90,Charter Communications,WAN1,at&t,at&t,spectrum,Yes,No
OHC 03,OHC 03,Primary,Spectrum,600.0M x 35.0M,244.45,74.87.216.206,Spectrum,74.87.216.206,Charter Communications Inc,AT&T Broadband II,99.93.219.169,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
OHC 03,OHC 03 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,99.93.219.169,Spectrum,74.87.216.206,Charter Communications Inc,AT&T Broadband II,99.93.219.169,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
OHC 04,OHC 04,Primary,Spectrum,600.0M x 35.0M,244.45,24.106.248.118,Spectrum,24.106.248.118,Charter Communications,AT&T Cell,192.168.2.107,Private IP,WAN1,spectrum,spectrum,private,Yes,No
OHC 05,OHC 05,Primary,Spectrum,600.0M x 35.0M,172.23,98.100.57.174,Spectrum,98.100.57.174,Charter Communications,Digi,192.168.2.233,Private IP,WAN1,spectrum,spectrum,private,Yes,No
OHC 06,OHC 06,Primary,Spectrum,600.0M x 35.0M,244.45,147.0.109.194,AT&T Broadband II,162.195.85.225,AT&T,Spectrum,147.0.109.194,Charter Communications,WAN2,spectrum,at&t,spectrum,No,Yes
OHC 06,OHC 06 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,162.195.85.225,AT&T Broadband II,162.195.85.225,AT&T,Spectrum,147.0.109.194,Charter Communications,WAN1,at&t,at&t,spectrum,Yes,No
OHC 07,OHC 07,Primary,Spectrum,600.0M x 35.0M,244.45,74.142.94.158,Spectrum,74.142.94.158,Charter Communications,AT&T Broadband II,99.172.130.41,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
OHC 07,OHC 07 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,99.172.130.41,Spectrum,74.142.94.158,Charter Communications,AT&T Broadband II,99.172.130.41,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
OHC 08,OHC 08,Primary,Spectrum,600.0M x 35.0M,172.23,98.100.62.186,AT&T Broadband II,75.58.112.33,AT&T,Spectrum,98.100.62.186,Charter Communications,WAN2,spectrum,at&t,spectrum,No,Yes
OHC 08,OHC 08- B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,75.58.112.33,AT&T Broadband II,75.58.112.33,AT&T,Spectrum,98.100.62.186,Charter Communications,WAN1,at&t,at&t,spectrum,Yes,No
OHC 10,OHC 10,Primary,Spectrum,600.0M x 35.0M,172.23,173.198.38.138,Spectrum,98.100.63.6,Charter Communications,AT&T Broadband II,99.93.220.217,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
OHC 10,OHC 10 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,99.93.220.217,Spectrum,98.100.63.6,Charter Communications,AT&T Broadband II,99.93.220.217,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
OHD 02,OHD 02,Primary,Spectrum,600.0M x 35.0M,172.23,98.102.180.10,Spectrum,98.102.180.10,Charter Communications,AT&T Broadband II,76.192.70.153,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
OHD 02,OHD 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,76.192.70.153,Spectrum,98.102.180.10,Charter Communications,AT&T Broadband II,76.192.70.153,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
OHD 03,OHD 03,Primary,Spectrum,940.0M x 35.0M,355.56,74.219.228.166,Spectrum,74.219.228.166,Charter Communications,Digi,192.168.2.137,Private IP,WAN1,spectrum,spectrum,private,Yes,No
OHD 04,OHD 04,Primary,Spectrum,600.0M x 35.0M,172.23,74.143.122.162,Spectrum,192.168.1.153,Private IP,AT&T Broadband II,99.29.48.9,AT&T,WAN1,spectrum,private,at&t,No,No
OHD 04,OHD 04- B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,99.29.48.9,Spectrum,192.168.1.153,Private IP,AT&T Broadband II,99.29.48.9,AT&T,WAN2,at&t,private,at&t,No,Yes
OHL 01,OHL 01,Primary,Spectrum,600.0M x 35.0M,244.45,98.102.18.154,Spectrum,98.102.18.154,Charter Communications,Telephone Service Company (TSC),167.100.35.230,Hanson Communications - Ohio,WAN1,spectrum,spectrum,hanson,Yes,No
OHL 01,OHL 01- B,Secondary,Telephone Service Company (TSC),200.0M x 50.0M,299.95,167.100.35.230,Spectrum,98.102.18.154,Charter Communications,Telephone Service Company (TSC),167.100.35.230,Hanson Communications - Ohio,WAN2,telephone,spectrum,hanson,No,No
OHN 01,OHN 01,Primary,Spectrum,600.0M x 35.0M,172.23,24.56.64.170,Spectrum,24.56.64.170,Charter Communications,EB2-Windstream Fiber,64.24.231.142,Windstream Communications LLC,WAN1,spectrum,spectrum,windstream,Yes,No
OHN 01,OHN 01 -B,Secondary,EB2-Windstream Fiber,500.0M x 500.0M,209.00,64.24.231.142,Spectrum,24.56.64.170,Charter Communications,EB2-Windstream Fiber,64.24.231.142,Windstream Communications LLC,WAN2,windstream,spectrum,windstream,No,Yes
OHN 02,OHN 02,Primary,AT&T Broadband II,1000.0M x 200.0M,165.00,107.211.81.177,AT&T Broadband II,107.211.81.177,AT&T,Cox Business/BOI,70.183.185.143,Cox Communications,WAN1,at&t,at&t,cox,Yes,No
