hostname,ip_address,device_family,system_description
HQ-MPLS-R1.dtc_phx.com,10.0.100.106,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software [Cupertino], c8000be Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.9.4, RELEASE SOFTWARE (fc5)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2023 by Cisco Systems, Inc.
Compiled Wed 26-Jul-23 10:26 b"
HQ-MPLS-R1.dtc_phx.com,10.0.255.248,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software [Cupertino], c8000be Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.9.4, RELEASE SOFTWARE (fc5)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2023 by Cisco Systems, Inc.
Compiled Wed 26-Jul-23 10:26 b"
HQ-VG350-01,172.16.4.50,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, VG350 Software (VG350-UNIVERSALK9-M), Version 15.4(3)M3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Fri 05-Jun-15 11:46 by prod_rel_team"
HQ-VG350-02,172.16.4.51,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, VG350 Software (VG350-UNIVERSALK9-M), Version 15.4(3)M3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Fri 05-Jun-15 11:46 by prod_rel_team"
IDF-1A-2960X-SecCam.dtc_phx.com,10.0.255.4,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(2)E6, RELEASE SOFTWARE (fc1)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Fri 16-Dec-16 21:27 by prod_rel_team"
IDF-1B-2960X-SecCam.dtc_phx.com,10.0.255.5,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(2)E6, RELEASE SOFTWARE (fc1)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Fri 16-Dec-16 21:27 by prod_rel_team"
IDF-1C-2960X-SecCam.dtc_phx.com,10.0.255.6,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(2)E6, RELEASE SOFTWARE (fc1)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Fri 16-Dec-16 21:27 by prod_rel_team"
IDF-2A-2960CX-SecCam.dtc_phx.com,10.0.255.7,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C2960CX Software (C2960CX-UNIVERSALK9-M), Version 15.2(4)E3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Sun 06-Nov-16 22:43 by prod_rel_team"
IDF-2C-2960CX-SecCam.dtc_phx.com,10.0.255.9,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C2960CX Software (C2960CX-UNIVERSALK9-M), Version 15.2(4)E3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Sun 06-Nov-16 22:43 by prod_rel_team"
IDF-A-2960X-SecCam.dtc_phx.com,10.101.255.10,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(2)E6, RELEASE SOFTWARE (fc1)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Fri 16-Dec-16 21:27 by prod_rel_team"
IDF-B-2960X-SecCam.dtc_phx.com,10.101.255.11,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(2)E6, RELEASE SOFTWARE (fc1)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Fri 16-Dec-16 21:27 by prod_rel_team"
IDF-C-2960X-SecCam.dtc_phx.com,10.101.255.12,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(2)E6, RELEASE SOFTWARE (fc1)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Fri 16-Dec-16 21:27 by prod_rel_team"
IDFCNF-3750-Stack.dtc_phx.com,10.0.255.66,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(55)SE8, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2013 by Cisco Systems, Inc.
Compiled Wed 26-Jun-13 11:25 by prod_rel_team"
IDF-D-2960CX-SecCam.dtc_phx.com,10.101.255.13,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C2960CX Software (C2960CX-UNIVERSALK9-M), Version 15.2(4)E3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Sun 06-Nov-16 22:43 by prod_rel_team"
IDF-E-2960CX-SecCam.dtc_phx.com,10.101.255.14,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C2960CX Software (C2960CX-UNIVERSALK9-M), Version 15.2(4)E3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Sun 06-Nov-16 22:43 by prod_rel_team"
IDFHQ-3750-TestLab.trtc.com,10.0.255.84,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(53)SE1, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2010 by Cisco Systems, Inc.
Compiled Fri 12-Mar-10 15:50 by prod_rel_team"
MDF-3130-I9-StackA,10.0.255.51,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, CBS31X0 Software (CBS31X0-UNIVERSALK9-M), Version 12.2(53)SE1, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2010 by Cisco Systems, Inc.
Compiled Fri 12-Mar-10 16:32 by prod_rel_team"
MDF-3130-I9-StackB,10.0.255.52,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, CBS31X0 Software (CBS31X0-UNIVERSALK9-M), Version 12.2(53)SE1, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2010 by Cisco Systems, Inc.
Compiled Fri 12-Mar-10 16:32 by prod_rel_team"
MDF-3130-J9-ENC3-A.trtc,10.0.255.56,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, CBS31X0 Software (CBS31X0-UNIVERSALK9-M), Version 12.2(53)SE1, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2010 by Cisco Systems, Inc.
Compiled Fri 12-Mar-10 16:32 by prod_rel_team"
MDF-3130-J9-ENC3-B.trtc,10.0.255.57,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, CBS31X0 Software (CBS31X0-UNIVERSALK9-M), Version 12.2(53)SE1, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2010 by Cisco Systems, Inc.
Compiled Fri 12-Mar-10 16:32 by prod_rel_team"
MDF-3130-O3-ENC1-A,10.0.255.93,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, CBS31X0 Software (CBS31X0-UNIVERSALK9-M), Version 12.2(53)SE1, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2010 by Cisco Systems, Inc.
Compiled Fri 12-Mar-10 16:32 by prod_rel_team"
MDF-3130-O3-ENC1-B,10.0.255.47,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, CBS31X0 Software (CBS31X0-UNIVERSALK9-M), Version 12.2(53)SE1, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2010 by Cisco Systems, Inc.
Compiled Fri 12-Mar-10 16:32 by prod_rel_team"
MDF-3750-I9-SwA.dtc_phx.com,10.0.255.53,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(55)SE10, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Wed 11-Feb-15 11:40 by prod_rel_team"
MDF-3750-I9-SwB.dtc_phx.com,10.0.255.54,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(55)SE10, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Wed 11-Feb-15 11:40 by prod_rel_team"
MDF-3750-L3.dtc_phx.com,10.0.255.46,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(55)SE10, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Wed 11-Feb-15 11:40 by prod_rel_team"
MDF-3750-Stk-J9.dtc_phx.com,10.0.255.36,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(53)SE1, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2010 by Cisco Systems, Inc.
Compiled Fri 12-Mar-10 15:50 by prod_rel_team"
MDF-3750-Stk-M9.dtc_phx.com,10.0.255.39,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(55)SE10, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Wed 11-Feb-15 11:40 by prod_rel_team"
MDF-3750-Stk-N9.dtc_phx.com,10.0.255.42,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(55)SE10, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Wed 11-Feb-15 11:40 by prod_rel_team"
MDF-3750-Stk-O9.dtc_phx.com,10.0.255.43,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(55)SE10, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Wed 11-Feb-15 11:40 by prod_rel_team"
MDF-3750-Stk-P9.dtc_phx.com,10.0.255.44,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(55)SE10, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Wed 11-Feb-15 11:40 by prod_rel_team"
SVALTOR,10.101.100.138,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(55)SE10, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Wed 11-Feb-15 11:40 by prod_rel_team"
svgw1.dtc_phx.com,10.0.99.254,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3900e Software (C3900e-UNIVERSALK9-M), Version 15.7(3)M3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Wed 01-Aug-18 15:15 by prod_rel_team"
svgw3.dtc_phx.com,10.101.99.254,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3900e Software (C3900e-UNIVERSALK9-M), Version 15.7(3)M3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Wed 01-Aug-18 15:15 by prod_rel_team"
SVHQTOR.DTC_PHX.COM.trtc.com,10.0.99.1,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(55)SE10, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Wed 11-Feb-15 11:40 by prod_rel_team"
SVHQTOR.DTC_PHX.COM.trtc.com,10.0.100.138,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3750 Software (C3750-IPBASEK9-M), Version 12.2(55)SE10, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Wed 11-Feb-15 11:40 by prod_rel_team"
svxcode1.dtc_phx.com,10.0.99.205,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3900 Software (C3900-UNIVERSALK9_NPE-M), Version 15.7(3)M3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Wed 01-Aug-18 23:07 by prod_rel_team"
svxcode2.dtc_phx.com,10.101.99.205,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3900 Software (C3900-UNIVERSALK9_NPE-M), Version 15.7(3)M3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Wed 01-Aug-18 23:07 by prod_rel_team"
svxgw1.dtc_phx.com,10.0.99.200,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3900 Software (C3900-UNIVERSALK9_NPE-M), Version 15.7(3)M3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Wed 01-Aug-18 23:07 by prod_rel_team"
svxgw2.dtc_phx.com,10.0.99.201,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3900 Software (C3900-UNIVERSALK9_NPE-M), Version 15.7(3)M8, RELEASE SOFTWARE (fc1)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Tue 02-Mar-21 05:51 by prod_rel_team"
svxgw3.dtc_phx.com,10.101.99.200,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3900 Software (C3900-UNIVERSALK9_NPE-M), Version 15.7(3)M3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Wed 01-Aug-18 23:07 by prod_rel_team"
svxgw4.dtc_phx.com,10.101.98.201,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3900 Software (C3900-UNIVERSALK9_NPE-M), Version 15.7(3)M3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Wed 01-Aug-18 23:07 by prod_rel_team"
svxgw4.dtc_phx.com,10.101.99.201,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, C3900 Software (C3900-UNIVERSALK9_NPE-M), Version 15.7(3)M3, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Wed 01-Aug-18 23:07 by prod_rel_team"
TestLab2950-03.trtc.com,10.0.255.76,Cisco Other,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco Internetwork Operating System Software 
IOS (tm) C2950 Software (C2950-I6K2L2Q4-M), Version 12.1(22)EA13, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2009 by cisco Systems, Inc.
Compiled Fri 27-F"
DMZ-7010-01,192.168.255.4,Unknown,""
DMZ-7010-02,192.168.255.5,Unknown,""
