site_name,circuit_purpose,provider_name,speed_original,speed_corrected,ip_address,arin_provider,wan_interface,source,status,last_updated,needs_speed_fix,billing_monthly_cost,contract_start_date,contract_term,early_termination_fee,raw_notes
ILC_00,Primary,Comcast,300.0 M,300.0M x 30.0M,96.74.249.185,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 DSR Comcast 300.0M x 30.0M
First IP 96.74.249.185
Gateway 96.74.249.186
Subnet 255.255.255.252

WAN2 DSR AT&T 300.0M x 300.0M
First IP 107.209.6.145
Gateway 107.209.6.150
Subnet 255.255.255.248"
ILC_00,Secondary,AT&T,300.0 M,300.0M x 300.0M,107.209.6.145,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 DSR Comcast 300.0M x 30.0M
First IP 96.74.249.185
Gateway 96.74.249.186
Subnet 255.255.255.252

WAN2 DSR AT&T 300.0M x 300.0M
First IP 107.209.6.145
Gateway 107.209.6.150
Subnet 255.255.255.248"
ILC 11,Primary,Comcast,300.0 M,300.0M x 35.0M,96.74.196.161,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 (ComcastAgg) Comcast 300.0M x 35.0M
First 96.74.196.161
Gateway 96.74.196.162
Subnet 255.255.255.252"
ILC 12,Primary,Comcast,300.0 M,300.0M x 35.0M,96.68.37.73,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 (ComcastAgg) Comcast 300.0M x 35.0M
First IP 96.68.37.73
Gateway 96.68.37.74
Subnet 255.255.255.252
WAN2 VZG
IMEI: 356405432317437"
ILC 12,Secondary,Verizon Business,Cell,Cell,166.246.93.70,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 (ComcastAgg) Comcast 300.0M x 35.0M
First IP 96.68.37.73
Gateway 96.68.37.74
Subnet 255.255.255.252
WAN2 VZG
IMEI: 356405432317437"
ILC 41,Primary,"Comcast Cable Communications, LLC",,,162.17.62.145,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
ILC 41,Secondary,VZW Cell,Cell,Cell,166.169.67.209,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
ILC 42,Primary,Oswego Static /32,,,104.254.223.132,Metronet,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
ILC 42,Secondary,VZW Cell,Cell,Cell,166.168.180.169,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
ILC 43,Primary,"Comcast Cable Communications, LLC",,,50.77.166.229,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN2 VZG 
IMEI: 356405432270818"
ILC 43,Secondary,VZW Cell,Cell,Cell,166.168.184.46,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN2 VZG 
IMEI: 356405432270818"
ILC 44,Primary,Static pool - Cinergy MetroNet,,,217.180.239.153,Metronet,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
ILC 44,Secondary,VZW Cell,Cell,Cell,166.151.178.22,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
ILC 45,Primary,"Comcast Cable Communications, LLC",,,96.84.93.81,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
ILC 45,Secondary,VZW Cell,Cell,Cell,166.248.7.243,Verizon,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
ILC 46,Primary,"Comcast Cable Communications, LLC",,,96.70.60.26,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 (ComcastAgg) Comcast 300.0 x 30.0
First IP 96.70.60.26
Gateway 96.70.60.25
Subnet 255.255.255.252 

WAN2 DIGI"
ILC 46,Secondary,VZW Cell,Cell,Cell,166.253.101.118,Verizon,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 (ComcastAgg) Comcast 300.0 x 30.0
First IP 96.70.60.26
Gateway 96.70.60.25
Subnet 255.255.255.252 

WAN2 DIGI"
ILR 01,Primary,Comcast,600.0 M,600.0M x 35.0M,74.94.116.73,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 (ComcastAgg)Comcast 600.0M x 35.0M
First IP 74.94.116.73
Gateway 74.94.116.74
Subnet 255.255.255.252"
INI_00,Primary,DSR Cincinnati Bell ADSL,400.0 M,400.0M x 200.0M,66.42.186.206,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 DSR Cincinnati Bell ADSL 400.0M x 200.0M
First IP 66.42.186.206
Gateway 66.42.186.205
Subnet 255.255.255.252
Modem Location: Back wall

WAN2 Spectrum ETE Cable 600.0M x 35.0M
First IP In Block 71.66.89.90
Gateway IP .89
Subnet Mask 255.255.255.252"
INI_00,Secondary,Charter Communications,600.0 M,600.0M x 35.0M,71.66.89.90,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 DSR Cincinnati Bell ADSL 400.0M x 200.0M
First IP 66.42.186.206
Gateway 66.42.186.205
Subnet 255.255.255.252
Modem Location: Back wall

WAN2 Spectrum ETE Cable 600.0M x 35.0M
First IP In Block 71.66.89.90
Gateway IP .89
Subnet Mask 255.255.255.252"
INI W01,Primary,"Comcast Cable Communications, LLC",,,50.195.198.237,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 DSR Comcast Workplace Cable 300.0M x 30.0M
First IP In Block 50.195.198.237
Gateway IP 50.195.198.238
Subnet Mask 255.255.255.252
WAN2 
DSR
AT&T Broadband II | AT&T ABF | 300.0M x 300.0M
First IP 99.33.34.9
Last IP .13
GW IP .14
SN	.248"
INI W01,Secondary,Private Customer - AT&T Internet Services,,,99.33.34.9,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 DSR Comcast Workplace Cable 300.0M x 30.0M
First IP In Block 50.195.198.237
Gateway IP 50.195.198.238
Subnet Mask 255.255.255.252
WAN2 
DSR
AT&T Broadband II | AT&T ABF | 300.0M x 300.0M
First IP 99.33.34.9
Last IP .13
GW IP .14
SN	.248"
INW 02,Primary,Comcast,300.0 M,300.0M x 35.0M,96.72.115.9,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 (ComcastAgg) Comcast 300.0M x 35.0M
First IP 96.72.115.9
Gateway 96.72.115.10
Subnet 255.255.255.252

WAN2 DIGI"
INW 02,Secondary,Digi,Cell,Cell,107.85.135.19,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 (ComcastAgg) Comcast 300.0M x 35.0M
First IP 96.72.115.9
Gateway 96.72.115.10
Subnet 255.255.255.252

WAN2 DIGI"
KSK_00,Primary,Charter Communications,600.0 M,600.0M x 35.0M,150.220.245.70,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 DSR Spectrum 600.0M x 35.0M
First IP 150.220.245.70
Gateway 150.220.245.69
Subnet 255.255.255.252

WAN2 DSR AT&T 300.0M x 300.0M
First IP 76.201.157.129
Gateway 76.201.157.134
Subnet 255.255.255.248"
KSK_00,Secondary,AT&T,300.0 M,300.0M x 300.0M,76.201.157.129,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 DSR Spectrum 600.0M x 35.0M
First IP 150.220.245.70
Gateway 150.220.245.69
Subnet 255.255.255.252

WAN2 DSR AT&T 300.0M x 300.0M
First IP 76.201.157.129
Gateway 76.201.157.134
Subnet 255.255.255.248"
MID W00,Primary,DSR - MIHW00,,,173.167.236.165,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,DSR - MIHW00
MIF 05,Primary,Comcast,300.0 M,300.0M x 35.0M,96.76.231.33,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 (ComcastAgg) Comcast 300.0M x 35.0M
First IP 96.76.231.33
Gateway 96.76.231.34
Subnet 255.255.255.252
WAN2 VZG"
MIF 05,Secondary,VZW Cell,Cell,Cell,166.246.93.149,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 (ComcastAgg) Comcast 300.0M x 35.0M
First IP 96.76.231.33
Gateway 96.76.231.34
Subnet 255.255.255.252
WAN2 VZG"
MIG 25,Primary,Comcast,,,96.76.237.21,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1: 
Comcast Agg
IP: 96.76.237.21
GW: 96.76.237.22
Sub: 255.255.255.252

WAN2: VZG
IMEI: 356405432146646"
MIG 25,Secondary,VZW Cell,Cell,Cell,166.163.165.215,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1: 
Comcast Agg
IP: 96.76.237.21
GW: 96.76.237.22
Sub: 255.255.255.252

WAN2: VZG
IMEI: 356405432146646"
MNM 02,Primary,Comcast,300.0 M,300.0M x 30.0M,96.75.157.169,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1:
Comcast Agg | Comcast Cable 300MB x 30MB
IP: 96.75.157.169	
GW: 96.75.157.170
Sub: 255.255.255.252

WAN2: VZG "
MNM 02,Secondary,Starlink,Satellite,Satellite,143.105.57.230,"SpaceX Services, Inc.",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1:
Comcast Agg | Comcast Cable 300MB x 30MB
IP: 96.75.157.169	
GW: 96.75.157.170
Sub: 255.255.255.252

WAN2: VZG "
MNM 03,Primary,Comcast,300.0 M,300.0M x 30.0M,96.75.153.5,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 Comcast Agg
Comcast Cable 300Mb x 30Mb
First IP 96.75.153.5
Gateway 96.75.153.6
Subnet 255.255.255.252

WAN2 VZG
IMEI 356405432272426"
MNM 03,Secondary,VZW Cell,Cell,Cell,166.180.46.137,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 Comcast Agg
Comcast Cable 300Mb x 30Mb
First IP 96.75.153.5
Gateway 96.75.153.6
Subnet 255.255.255.252

WAN2 VZG
IMEI 356405432272426"
MNM 09,Primary,DSR Comcast,750.0 M,750.0M x 35.0M,73.228.210.242,"Comcast IP Services, L.L.C.",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1(ComcastAgg)Comcast 300.0M x 35.0M
First IP 50.249.116.146
Gateway 50.249.116.147
Subnet 255.255.255.252

WAN2 DIGI"
MNM 09,Secondary,Digi,Cell,Cell,107.80.171.26,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1(ComcastAgg)Comcast 300.0M x 35.0M
First IP 50.249.116.146
Gateway 50.249.116.147
Subnet 255.255.255.252

WAN2 DIGI"
MNM 11,Primary,Comcast,300.0 M,300.0M x 35.0M,96.75.149.153,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 (ComcastAgg) Comcast 300.0M x 35.0M
First IP 96.75.149.153
Gateway 96.75.149.154
Subnet 255.255.255.252

WAN2 VZG
IMEI 356405432451152"
MNM 11,Secondary,VZW Cell,Cell,Cell,166.180.159.153,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 (ComcastAgg) Comcast 300.0M x 35.0M
First IP 96.75.149.153
Gateway 96.75.149.154
Subnet 255.255.255.252

WAN2 VZG
IMEI 356405432451152"
MNM 24,Primary,Comcast,300.0 M,300.0M x 30.0M,96.72.38.153,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 (Comcat Agg) Comcast Cable 300 Mb x 30 Mb
IP: 96.72.38.153
GW: 96.72.38.154
SUB: 255.255.255.252

WAN2: VZG
Port 8 - Video camera system"
MNM 24,Secondary,Verizon Business,Cell,Cell,166.180.159.110,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 (Comcat Agg) Comcast Cable 300 Mb x 30 Mb
IP: 96.72.38.153
GW: 96.72.38.154
SUB: 255.255.255.252

WAN2: VZG
Port 8 - Video camera system"
MNM 25,Primary,ComcastAgg,,,73.94.13.48,"Comcast IP Services, L.L.C.",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 (ComcastAgg)Comcast
Primary IP - 50.244.202.109
Gateway IP - 50.244.202.110
Subnet - 255.255.255.252
WAN2: VZG"
MNM 25,Secondary,Verizon Business,Cell,Cell,166.246.93.76,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 (ComcastAgg)Comcast
Primary IP - 50.244.202.109
Gateway IP - 50.244.202.110
Subnet - 255.255.255.252
WAN2: VZG"
MNM 29,Primary,Comcast,300.0 M,300.0M x 30.0M,96.75.159.233,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1: 
Comcast | Managed Broadband | 300.0M x 30.0M
Circuit ID: 8772105770886477
IP: 96.75.159.233
GW: 96.75.159.234
Sub: 255.255.255.252

WAN2: VZG"
MNM 29,Secondary,Verizon Business,Cell,Cell,166.246.93.68,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1: 
Comcast | Managed Broadband | 300.0M x 30.0M
Circuit ID: 8772105770886477
IP: 96.75.159.233
GW: 96.75.159.234
Sub: 255.255.255.252

WAN2: VZG"
MNM W01,Primary,Comcast,,,50.211.20.237,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
MOO 01,Primary,ComcastAgg CableOne,300.0 M,300.0M x 35.0M,24.119.128.250,"CABLE ONE, INC.",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1(ComcastAgg)CableOne 300.0M x 35.0M
First IP 24.119.128.250
Gateway 24.119.128.249
Subnet 255.255.255.252

WAN2 DIGI"
MOO 01,Secondary,Digi,Cell,Cell,107.127.155.138,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1(ComcastAgg)CableOne 300.0M x 35.0M
First IP 24.119.128.250
Gateway 24.119.128.249
Subnet 255.255.255.252

WAN2 DIGI"
MOO 04,Primary,Level 3,300.0 M,300.0M x 300.0M,4.35.182.162,Level 3,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 (Dave Schulman) BrightSpeed Dedicated Fiber 300 Mb x 300 Mb
WAN2 Verizon 5G"
MOO 04,Secondary,Verizon,Cell,Cell,63.43.232.131,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 (Dave Schulman) BrightSpeed Dedicated Fiber 300 Mb x 300 Mb
WAN2 Verizon 5G"
MOSW 01,Primary,arco trucking08162011143812942,,,108.192.139.225,AT&T,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"ELLISVILLE Full-Service
WAN1 DSR Spectrum 600.0M x 35.0M
First IP 47.50.140.114
Gateway 47.50.140.113
Subnet 255.255.255.252
WAN2 DIGI"
MOSW 01,Secondary,Charter Communications LLC,,,47.50.140.114,Charter Communications,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"ELLISVILLE Full-Service
WAN1 DSR Spectrum 600.0M x 35.0M
First IP 47.50.140.114
Gateway 47.50.140.113
Subnet 255.255.255.252
WAN2 DIGI"
Mt. Prospect Voice,Primary,AT&T BVOIP Asset ID IZEC561522ATI,,,208.83.9.194,CenturyLink,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,AT&T BVOIP Asset ID: IZEC561522ATI
NCC_00,Primary,Charter Communications,600.0 M,600.0M x 35.0M,66.57.166.218,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"Internet is under NCCW00
WAN1 DSR Spectrum 600.0M x 35.0M
First IP 66.57.166.218
Gateway 66.57.166.217
Subnet 255.255.255.252
AT&T Broadband II | AT&T ABF | 300.0M x 300.0M
First IP In Block	45.23.77.145
Gateway IP	45.23.77.150
Subnet Mask	255.255.255.248"
NMA_00,Primary,Comcast,300.0 M,300.0M x 30.0M,96.64.151.241,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 DSR Comcast 300.0M x 30.0M
IP Address 96.64.151.241
Gateway 96.64.151.242
Subnet 255.255.255.252
WAN2 Centurylink 100.0M x 10.0M
IP Address 168.103.98.138
Gateway 168.103.98.137
Subnet 255.255.255.252"
NMA_00,Secondary,CenturyLink,100.0 M,100.0M x 10.0M,168.103.98.137,CenturyLink,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1 DSR Comcast 300.0M x 30.0M
IP Address 96.64.151.241
Gateway 96.64.151.242
Subnet 255.255.255.252
WAN2 Centurylink 100.0M x 10.0M
IP Address 168.103.98.138
Gateway 168.103.98.137
Subnet 255.255.255.252"
NMA 10,Primary,Comcast,300.0 M,300.0M x 35.0M,96.77.22.185,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,,"WAN1:
ComcastAgg 300.0M x 35.0M
IP: 96.77.22.185
GW: 96.77.22.186
Sub: 255.255.255.252

WAN2: VZG 
IMEI: 356405432146125"
NMA 10,Secondary,VZW Cell,Cell,Cell,166.248.7.28,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1:
ComcastAgg 300.0M x 35.0M
IP: 96.77.22.185
GW: 96.77.22.186
Sub: 255.255.255.252

WAN2: VZG 
IMEI: 356405432146125"
NMACALLCNTR,Primary,"Comcast Cable Communications, LLC",,,74.92.206.225,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"Internet upgraded to 300 x 25
Co-located with NMAW00 warehouse. "
NVL_00,Primary,Cox Communications,,,24.234.187.243,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NVL_00,Secondary,Digi,Cell,Cell,107.84.130.99,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NVL 16,Primary,VZW Cell,Cell,Cell,174.205.97.122,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 = WIRELESS AT&T
WAN2 DIGI"
NVL 16,Secondary,Digi,Cell,Cell,166.184.129.138,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 = WIRELESS AT&T
WAN2 DIGI"
NVL W01,Primary,Cox Communications,,,24.120.171.73,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"ISP Cox
IP: 24.120.171.73
Subnet: 255.255.255.240
Gateway: 24.120.171.65

DNS 1: 208.67.222.222
DNS 2: 208.67.220.220"
NVRB04,Primary,TEST STORE NOT PRODUCTION,,,67.40.71.2,CenturyLink,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,TEST STORE NOT PRODUCTION
NYB 01,Primary,DUNN TIRE,,,208.105.133.178,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1: 
IP: 208.105.133.178
GW: 208.105.133.177
GW: 255.255.255.248

WAN2: VZG
IMEI: 356405431606517"
NYB 01,Secondary,"AT&T Enterprises, LLC",,,107.127.197.80,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1: 
IP: 208.105.133.178
GW: 208.105.133.177
GW: 255.255.255.248

WAN2: VZG
IMEI: 356405431606517"
NYB 02,Primary,DUNN TIRE,,,50.75.0.218,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYB 02,Secondary,VZW Cell,Cell,Cell,71.186.165.101,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYB 03,Primary,DUNN TIRE,,,50.75.1.218,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYB 03,Secondary,"AT&T Enterprises, LLC",,,107.127.197.93,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYB 04,Primary,DUNN TIRE,,,50.75.1.162,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYB 04,Secondary,"AT&T Enterprises, LLC",,,107.127.197.81,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYB 05,Primary,DUNN TIRE,,,50.75.1.226,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1: 
IP: 50.75.1.226
GW: 50.75.1.225
Sub: 255.255.255.248

WAN2: VZG
IMEI: 356405432148485"
NYB 05,Secondary,"AT&T Enterprises, LLC",,,107.127.197.95,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1: 
IP: 50.75.1.226
GW: 50.75.1.225
Sub: 255.255.255.248

WAN2: VZG
IMEI: 356405432148485"
NYB 06,Primary,DUNN TIRE,,,208.105.133.130,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN 1: Spectrum

WAN 2: Digi"
NYB 06,Secondary,"AT&T Enterprises, LLC",,,107.127.197.71,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN 1: Spectrum

WAN 2: Digi"
NYB 07,Primary,DUNN TIRE,,,50.75.0.74,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYB 07,Secondary,"AT&T Enterprises, LLC",,,107.127.197.94,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYB 08,Primary,DUNN TIRE,,,50.75.0.58,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYB 08,Secondary,"AT&T Enterprises, LLC",,,107.127.197.73,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYF 01,Primary,DUNN TIRE,,,50.75.11.226,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYF 01,Secondary,"AT&T Enterprises, LLC",,,107.127.197.84,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYF 02,Primary,DUNN TIRE,,,50.75.7.226,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYF 02,Secondary,"AT&T Enterprises, LLC",,,107.127.197.74,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYF 03,Primary,DUNN TIRE,,,50.75.0.66,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYF 03,Secondary,"AT&T Enterprises, LLC",,,107.127.197.88,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYR 02,Primary,Charter Communications Inc,,,69.193.88.50,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYR 02,Secondary,"AT&T Enterprises, LLC",,,107.127.197.85,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYR 03,Primary,DUNN TIRE,,,50.75.0.50,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYR 03,Secondary,"AT&T Enterprises, LLC",,,107.127.197.90,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYR 04,Primary,DUNN TIRE,,,198.179.114.202,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN 1: SPECTRUM BUSINESS MODEM

WAN 2: DIGI"
NYR 04,Secondary,"AT&T Enterprises, LLC",,,107.127.197.86,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN 1: SPECTRUM BUSINESS MODEM

WAN 2: DIGI"
NYR 05,Primary,DUNN TIRE,,,50.75.8.202,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYR 05,Secondary,"AT&T Enterprises, LLC",,,107.127.197.92,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYR 06,Primary,DUNN TIRE,,,208.105.133.146,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYR 06,Secondary,"AT&T Enterprises, LLC",,,107.127.197.89,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYR 07,Primary,DUNN TIRE,,,50.75.0.42,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN 1: Spectrum Business (DMARC-1)

WAN 2: DIGI"
NYR 07,Secondary,"AT&T Enterprises, LLC",,,107.127.197.91,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN 1: Spectrum Business (DMARC-1)

WAN 2: DIGI"
NYS 01,Primary,DUNN TIRE,,,208.105.133.234,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYS 01,Secondary,"AT&T Enterprises, LLC",,,107.127.197.96,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYS 02,Primary,DUNN TIRE,,,50.75.3.218,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYS 02,Secondary,VZW Cell,Cell,Cell,71.115.157.125,Verizon,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,
NYS 03,Primary,DUNN TIRE,,,50.75.1.82,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 - Spectrum
WAN2 - Accelerated"
NYS 03,Secondary,VZW Cell,Cell,Cell,166.246.91.126,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 - Spectrum
WAN2 - Accelerated"
